"","A-443644","afatinib","AKT-inhibitor-1-2","alvocidib","amuvatinib","AS-601245","AS-605240","AT-7519","AT7867","AZ-628","AZD-1480","AZD-5438","AZD-7762","AZD-8055","AZD-8330","barasertib","BI-2536","BIX-02189","BMS-345541","BMS-387032","brivanib","BTC_lig","buparlisib","BX-912","canertinib","celastrol","CGP-60474","CHIR-99021","CYT387","dasatinib","dopamine","doramapimod","EGF_lig","erlotinib","estradiol","foretinib","FR-180204","GDC-0879","GDC-0941","GSK-1059615","GSK-1904529A","GSK-2126458","GSK-690693","GW-5074","H-9","HG-6-64-01","HY-11007","ibrutinib","IL4_lig","JNJ-38877605","JNK-9L","JW-7-24-1","JWE-035","KIN001-055","KIN001-220","KIN001-242","KIN001-244","KIN001-266","KU-60019","linifanib","MGCD-265","MK-1775","MK-2206","nintedanib","NVP-AUY922","NVP-TAE684","ON-01910","OSI-027","OSI-930","oxacillin","palbociclib","PD-0325901","PD-184352","pelitinib","PF-04217903","PF-431396","PF-477736","PHA-665752","PHA-793887","PI-103","ponatinib","purvalanol-a","pyrazolanthrone","QL-X-138","QL-XII-47","rondual-kinase-inhibitor","roscovitine","rutin","SAR-245409","SB-203580","SB-216763","selumetinib","serdemetan","SGX523","sirolimus","SU-11274","sunitinib","SYK-inhibitor","TAK-715","TG-101348","tivantinib","tivozanib","TNF_lig","torin-1","torin-2","trametinib","veliparib","VX-745","W-5","W-7","WYE-125132","WZ-3105","WZ-4-145","XMD-1150","XMD-132","XMD-1499","XMD-1527","XMD-16144","XMD-885","XMD-892","Y-27632","Y-39983","YM-201636","ZG-10","ZSTK-474"
"PSME1",-0.621515247175,-0.0249181049804688,-0.392583646473958,0.178179317954861,-0.345405717226562,-1.02755714288542,0.191827393976562,0.693699925831945,-0.441435140136719,0.561253988378906,-0.77349907421875,0.422155286787109,-0.0921331898541666,0.0563902821875,0.0239551311621093,-0.48287465340625,0.2815479830625,-0.251856249023438,0.118270421927083,1.34969012222222,-0.528295843662109,-0.359302173402778,0.338098366210938,-0.172241300666667,-0.0776168624131944,-0.481237816071181,1.6400652225,-0.51838674546875,-0.722696678776042,0.156693179270833,-0.15890771875,-0.557275339189453,-0.301427583344213,-0.124278338710937,0.54884725509375,0.307811471440972,-0.193173931640625,-0.79488690703125,0.36043162225,-0.248983313769531,0.394532724088542,0.0966040005664063,-0.298731833072917,0.503607906328125,-0.33001189828125,0.750459025416667,-0.382381567617188,-0.789230328173828,1.0802201625,0.548520486132812,0.304527304199219,0.238818821484375,-0.297170342565104,-0.196476543875,-0.0768433283333333,-0.130402893160764,-0.551851408607639,-0.394501249453125,0.225979683554688,-0.434309584375,0.354656063888889,-0.504893725488281,-0.223389547011719,-0.67181432289388,-0.916634963378906,0.100606650552083,-0.67228266296875,0.523036722375,-0.494737818773148,0.1897326875,0.277148890458333,0.094653134769043,0.428858678078125,0.0672911729600694,-0.144954182747396,-0.500682248046875,0.554333432421875,0.548772290755208,0.26833243875,-0.0295896029394531,-0.771141950173611,-0.0601060265625,-0.806799393980035,-0.07098762400625,-1.09222661657083,0.245743742838542,-0.714516229520833,-0.789230328173828,-0.575759498626302,0.228921903298611,-0.16840299506684,-0.212977905529167,-0.53324192265625,0.545697237467448,0.383446342995875,-0.293885353741319,-0.353733126855469,-0.321225282910156,0.479529065234375,-0.147525255768229,-0.23797485772526,-0.411791163411458,0.834629277932099,-0.851325776728125,-0.719840500564583,-0.0197873506835938,0.112563753776042,-0.140522711783854,0.503607906328125,0.238818821484375,-0.0707999605625,-0.0768950195097222,-0.1269468171875,-0.346743062039286,-0.0770579881783854,-0.430333712044271,-0.516210279980469,-0.533470694257813,-0.231775503352539,-0.0145331557877604,-0.501418801953125,-0.417379309244792,0.0543440848958333,-0.385886137428819,0.510314844375
"CISD1",0.377915363569444,-0.284830900976563,-0.192969159291667,0.806313691222569,-0.768307180338542,-0.096318458359375,0.187671669027344,0.488392743779861,-0.386760598847656,-0.0666712276367188,-0.0612322734375,-0.10761675016276,0.0452636094088194,-0.60708098969375,0.0914905344335938,-0.230446953703125,0.160177513581944,0.0100133672851563,-0.35695102484375,0.492496795030382,-0.149320956494141,-0.469566690972222,-0.0472230549804688,0.137015101743056,-0.295034951996528,-0.0964217825520833,0.76062810088125,-0.153320094580078,-0.988722851979167,0.4548454259375,-0.07919565625,0.0171860326171875,0.00791032608564816,-0.0137654193967014,-0.225756102895833,-0.269010471354167,-0.662002916601563,-0.0564086239453125,-0.065088285275,0.451818157290039,-0.143064372135417,-0.131051761572266,0.0770845553796875,-0.190732968489583,0.0717084784375,-0.00335597035156251,-0.00134150051562505,-0.494026944667969,-0.04995056875,-0.136860444921875,-0.298228337304688,-0.212393163018229,-0.197927335455729,-0.307476203020833,0.203036129609375,0.582757742027778,-0.455430454690972,-0.330786730859375,0.0126994170703125,-0.382639760351562,-0.369194101649306,-0.558148787597656,0.0190745008398438,-0.124872037265625,0.00224718896484373,-0.0657466278645833,-0.27028636171875,0.0171533794375,0.0681841423611111,0.042555625,0.0185520046744792,-0.468711524023438,0.308270292828125,0.162261427083333,-0.212796961207682,-0.196385895345052,-0.23079893875,0.259606170377604,0.74994061625,0.258148997466797,0.195830540625,0.190559091875,-0.613282580494792,0.17255547139375,0.0784640252972222,-0.420263673242187,-0.348967607326389,-0.494026944667969,-0.112491926744792,-0.0354724072916667,0.0155858177517361,0.105438665978125,0.127057118046875,-0.04647558984375,-0.421518449827,-0.349413949609375,-0.364965364174805,-0.133786218701172,-0.118049366542969,-0.429924640657552,-0.921860068424479,-0.523119999414063,0.0270954084490741,-0.9823903326625,-0.292386284052778,-0.311990341923828,-0.0407438558940104,-0.237795915941081,-0.190732968489583,-0.212393163018229,-0.45114653019375,-0.379758359975,-0.118641693565938,0.254248268787321,0.253990602020833,-0.268729864583333,-0.717270532226562,-0.252313556158854,0.145521383984375,-0.180783733017578,-0.267286993563194,-0.12212697031901,-0.457266093402778,-0.404194418518518,0.12111266104375
"SPDEF",0.506468851289583,0.0968067517578125,0.104105973897917,0.33760744247743,-0.229785447395833,-0.383036919453125,0.00364712247265622,-0.827413346631944,0.4296266609375,-0.412810760408203,-0.0243363143359375,-0.125785933291016,0.202531777354167,0.48662393127125,-0.501317864111328,-0.100468220421875,-1.42907183066806,-0.185414138466797,-1.15493405244792,0.699383540885417,0.122036787504883,-0.221719972569444,0.218874881855469,0.230632529201389,-0.0711725028819444,-0.310126819487847,-1.0945278635375,-0.67835030859375,0.331176890755208,0.490925261197917,0.39960984375,0.215910579443359,-0.420226268453704,0.272231724479167,0.0898779028125,0.335551337708333,0.017652489609375,-0.297651974609375,0.370944008309375,0.429702866699219,0.0638213319010417,1.17300279355469,-0.303758377604167,-0.764431090234375,-0.501667,0.268408331966146,0.10522330140625,0.425617102246094,0.9203146453125,-0.0386905307291667,-0.459146747265625,0.0676926621770833,0.0247034794986979,-0.408814409697917,-0.395801405520833,0.132331590555556,-0.00737494226388888,-0.337228464648438,-0.035368571875,-0.029891186328125,-0.00645224110243055,-0.208994029248047,-0.12924906921875,0.220781090172526,-0.235032958007812,0.287914489791667,-0.0710698845486111,0.33213635299375,0.00783847789351852,-0.3216999375,0.475417419505208,-0.367472389688477,-0.155199758953125,0.201411354859809,0.177295274283854,0.653957533007812,0.208120138632812,0.467856021679687,-0.143776230484375,0.590993676533203,0.362250831206597,-0.344387991666667,0.128092349479167,0.670597084775,0.264180178479167,0.0332746527669271,-0.450748348,0.425617102246094,0.108078404264323,0.107094521857639,-0.130713460850694,0.31735307114375,0.402699088541667,0.18372207734375,0.1018786720335,0.0779029126128472,-0.430441535898438,-0.461094473349609,0.320603848710938,-0.606836044147135,-0.506146169544271,-0.0487975065104166,-0.416766921527778,0.2620309000625,0.594313721295833,-0.396694042578125,0.186934079166667,0.0541468237786458,-0.764431090234375,0.0676926621770833,0.80398222983125,-0.934684102332639,0.162444768090313,-0.972227615813393,0.107746237890625,0.438294178385417,0.112182191992187,-0.764978508007813,-0.525060443847656,0.0265449005045573,0.0192667995659722,0.745734611588542,0.145485915295139,-0.297432930873843,0.4223186494
"ATF1",-0.203079004451389,0.167492489257813,-0.230868073576042,-2.40500317156597,0.47025144140625,-0.575311823554687,-0.754726190609375,-1.29945032770139,-0.325164505253906,0.119253558984375,-0.456985159082031,-1.1526449398763,-0.327883720038889,0.2957862168125,-0.29180223203125,-0.7117179331875,-1.46071451908333,-0.54067603359375,0.58108759109375,-2.17450597732205,-0.304352894482422,0.618591706423611,0.318819061484375,-0.776899980671354,0.100869001909722,0.216140690486111,-1.5864000395625,-0.222270912626953,-0.299927085677083,-0.94407371671875,0.2220408125,-0.181347557421875,0.938534755185185,0.931355325279948,-0.499429998854167,-0.0429478202256944,0.566655349804687,0.161184948090278,0.663107713525,-0.520998169296875,0.593640521985677,0.137592465048828,0.167772888302951,0.792468226822917,-0.537824897851563,0.651326980794271,-0.65831596175,-0.576418694375,0.5459614765625,0.283437880533854,-1.42620577617187,0.107682664427083,-0.0167139444661458,-0.392243434166667,-0.850843220670833,-0.725767045350694,-0.589786530245979,-0.188375993554687,-0.390989602408854,-0.397798515429688,0.501973484743924,-0.330557776591797,-0.116466693251562,-0.331170688736979,-0.066599933203125,-0.471600131989583,0.0612839220486111,0.2877119036,-0.10839333462037,-0.10619313125,-0.350551795511458,0.282325287949219,-0.357203574171875,0.208091986649306,-0.726879585488932,0.821524855924479,0.208000055703125,0.778411753710937,-1.94833326903906,0.184449167353516,-0.916423619930556,-0.0394762669791667,0.115084553875868,0.54705849865,0.728471353205555,0.681393350065104,-0.950525660979167,-0.576418694375,0.210428662239583,0.0102881228298611,0.105516082664931,-0.442266234917708,-0.048893321796875,0.742003245963542,0.15652818852625,0.501945846440972,-0.0550380321289062,-0.697051231689453,0.139205012597656,-0.946155663271484,0.272943996992188,-0.248167086197917,0.262189253433642,-0.480855550766875,-0.613643094111111,-0.279130511572266,0.489356833411458,-0.00682873045572918,0.792468226822917,0.107682664427083,0.36859684225,-0.8449102926875,-0.309109810697917,-1.52735047234732,-0.911330865069444,-0.0314244670572917,0.192734967363281,-0.578266327864583,-0.352756969511719,0.0734806906673177,-0.225624784892361,-0.243976207916667,0.507762067708333,0.695315360402199,0.35282493833125
"RHEB",0.361240697679167,0.215665418164063,-0.287082049333333,-0.430765444697917,-0.311598333203125,0.650624137083333,0.142632880103125,-0.0159009862013889,0.0197145419921875,0.3724073296875,-0.229399007272135,-0.719896160638021,-0.0203448804704861,0.7777629006875,-0.242489480429687,-0.286203544828125,0.469321483197917,-0.278130488916016,0.68820914165625,-0.652091714105903,-0.351660763212891,0.568470505902778,0.413133024257812,0.0195324403125,0.0669773065972222,-0.272815249088542,-0.00250238886249997,-0.359329725170898,-0.449074311809896,-0.818830618583333,0.13130971875,-0.360930784863281,-0.327822337037037,0.468871058072917,0.157916918552083,0.323245037326389,0.130558531210938,-0.219837131189236,-0.1439799518125,-0.0059526831054687,0.362580248632813,0.341105606621094,-0.299252074609375,0.76345377421875,0.43118399921875,0.457126547265625,0.221740711882813,-0.481537455859375,-0.04758758203125,0.332546627701823,-0.210196615117188,0.52485660449375,-0.13396776679362,0.486549385260417,0.283937145192708,0.597745365294444,-0.0790440723119514,0.351998001757813,-0.459385697721354,0.008130869375,0.501801594974392,-0.246085708652344,-0.500868467640625,-0.175901550651042,-0.130492831054688,-0.270850225708333,-0.115266535052083,0.4115346488875,-0.312277679513889,0.074903125,-0.596446780253724,-0.0614665705664063,-0.23250801,-0.135203103667535,-0.808847835417318,0.0184464853125,0.229900995989583,0.135305298697917,0.2701448543125,0.173275449296875,-0.172522671137153,-1.373893180625,0.000602577712673602,0.30967724476875,-0.160950085849722,0.176646789388021,-0.1951756798125,-0.481537455859375,-0.222587786230469,-0.0624900616319445,-0.186979394392361,-0.2620771610625,-0.39223460546875,0.490832282604167,0.61629837019225,-0.275084715060764,-0.22236436671875,-0.186591065488281,-0.484187782421875,-0.12235638577474,-0.122282439420573,0.614454945833333,-0.00871107932098762,0.76648609083125,0.172005516387736,-0.183506390625,0.477739690182292,-0.0267247590429688,0.76345377421875,0.52485660449375,0.419781929065,0.879643984963889,0.363474469427083,-0.630722109829464,-0.247792914453125,0.2201552953125,0.468835434773437,0.454279498580729,-0.0264928500878906,0.0505920786946615,-0.514010273893229,-0.0848592419921875,-0.0815905813715278,-0.0830037102416088,0.27632237601875
"IGF1R",0.849880160055556,0.0965829654296875,0.894223855301042,-2.08523240658507,-0.0918972459635417,-0.683540407578125,-0.601130348671875,-0.569198227756944,-0.424814828769531,0.639195387304688,-0.0446023673567708,-1.32100554010417,0.0301125426527778,1.71198690955625,0.295501830175781,-0.212897845625,-1.12992308085417,0.3850455840625,0.0937820639322917,-1.1407916125651,0.0756829327148438,0.261102454809028,0.435965935449219,-0.264992535180556,0.293166173611111,0.403825898263889,-0.5793740236875,-0.507577845146484,-0.159345974088542,0.00534301588625001,-0.01228559375,-0.121311975625,0.931109568310185,-0.333175536371528,-0.446873053932292,-0.622237968055556,0.125117805019531,0.261263942899306,0.9562936574875,0.686104420380859,-0.054427244140625,1.25677807392578,0.842410760329861,-0.183353282161458,-0.245254694140625,0.33867310733724,-0.526978191148437,-0.186427255761719,0.1855419234375,-0.109886978841146,-0.812237810352539,0.615623456119792,0.0828492241764323,-0.475189259270833,-0.4470201978125,-0.466571820381944,-0.513057863135417,0.0995687399414062,0.351134053580729,0.367542833066406,-0.0840063030815972,0.409600436943359,0.794133734914062,0.238623833518296,-0.0348492795898437,0.0857710994166667,0.438301352951389,1.5350095482625,-0.116944638787616,-0.52842825,0.451210712817708,0.540698953105469,-0.5563194428125,0.154061034027778,0.22317541858724,-0.677784463964844,0.221543567447917,-0.0383428171484375,-1.3199270509375,1.1550378634668,0.0738854619010417,0.234847759270833,0.346318413411458,1.41142077225,0.427681194173611,-0.2372068046875,-0.254800224267361,-0.186427255761719,0.267625876529948,-0.212774298472222,0.123923780555556,-0.239831366760417,0.0236442872395833,0.0439088919661458,1.199386276506,0.282461611147569,0.800411404394531,-0.583556874863281,-0.588103798828125,-0.161753489589844,0.0161937453984375,-0.543157964453125,0.507094324074074,1.8026251688625,1.92034415815069,0.894793706064453,-0.13407783171875,-0.0422518567057292,-0.183353282161458,0.615623456119792,1.977867523875,-0.609913873701389,0.32484713346875,-0.570513956904464,-0.465408808628472,-0.194192486067708,-0.424590454082031,-0.694449880013021,-0.057647653125,-0.0766481556966146,0.26846945984809,-0.370222203294271,0.648898561284722,-0.266422615538194,1.223709482975
"FOXO3",0.163782687451389,0.129380945898438,0.106614459257292,-1.70681611590972,0.248124204492188,-0.730794227174479,-0.0278586957304688,-2.24077456716042,0.1952398234375,0.378259631640625,0.459247840039062,-0.0675910994335937,-1.31453769256806,2.339816858125,0.444603196992188,0.30513836859375,1.04097426136458,0.598518559570313,-0.11312706515625,-2.91793157977431,0.261104680712891,-0.382104305381944,0.546709256201172,-0.0163358835069444,0.0665126293315973,-0.0348182511284722,-3.3805335112,0.291335360185547,0.209054122953125,-0.06792226921875,0.12079555625,0.272706372626953,-0.762030311990741,-0.163399234852431,0.777798937760417,0.548344573541667,-0.233356077929687,0.208143252226562,0.386625065125,0.949308610136719,-0.238596317877604,1.30157217412109,0.547784121875,-0.309236442708333,0.1353494734375,-0.118501992532552,-0.53490467565625,0.0701726170605469,-0.37870553578125,-0.479822884205729,-0.577154609863281,1.103439620625,-0.00414384935546875,-0.1597421125,-0.231688399635417,0.0740522209930556,-0.0144928527777778,-0.0669286520507812,0.20765269313151,0.734689602734375,-0.313567866232639,0.500795819628906,0.233468630585938,0.542308578763021,-0.0388711423828125,0.178652607395833,0.765481386180556,1.840584378,0.386451799131944,0.4253777625,0.702740891692708,0.278636787522949,0.198929782640625,0.111744142423177,0.314589943629557,0.624715325865886,0.151302540976563,-0.267668375976562,-1.09130545857812,0.740633904443359,-0.165485859375,1.3974944625,0.6126816203125,1.5458306140125,1.37661886989028,-0.442246568619792,-0.234864114791667,0.0701726170605469,0.399080765690104,-0.141683895138889,0.273983882378472,0.288102054354167,0.0278200265885417,-0.304952831119792,1.5135857477905,0.110218211631944,0.341232456054687,0.0807696712666016,0.234534820898437,0.85149463610026,0.234340241276042,-0.244123298893229,0.592642120841049,2.6855421683125,2.48890724462708,0.543573887597656,-0.595493654166667,-0.0145709712239583,-0.309236442708333,1.103439620625,2.633254790375,-0.950195218270833,0.470887099166667,0.766595588033304,0.0886070902517361,0.294285794921875,0.10242947890625,0.661050658463542,0.31898402,-0.141150299902344,0.404337222648611,-0.163215073496094,0.338232581649306,-0.130991663888889,0.6984707802125
"GSTM2",-0.0514785954027778,-0.00136526152343749,-0.268529165536458,1.29459941977604,0.184181202864583,0.211777772026042,0.0368952921523437,0.424394249254167,-0.287649070136719,-0.0725814193359375,0.267870853977865,0.185699901708984,0.102684097291667,-0.307852253275,0.609568668662109,-0.07985015278125,-0.743535559858333,0.249842632910156,0.18647605515625,1.46683764562717,0.137017029199219,-0.120458808940972,-0.128550869648438,-0.230833638958333,-0.0299577762586806,0.213705493250868,0.817021284125,0.230145640917969,0.311882874609375,0.03674864875,-0.578874625,0.227467390517578,-0.328698222685185,0.605244925954861,-0.386703732252604,-0.0404099028645834,0.415701751953125,-0.202544359635417,0.05741703741875,0.0956486028320312,0.0573028568359375,-0.0984485778710937,0.0149759956163194,-0.299170533984375,-0.5454286296875,0.509835799348958,-0.327761197523438,0.143702644980469,-0.50823435390625,0.309287992643229,0.0999170090820313,-0.512782731302083,0.606007808554687,0.0986183995833333,0.241146512083333,-0.107415310902778,0.287505331072917,0.0038476396074219,0.423176919401042,0.253949573828125,0.0789334404513889,-0.108123245205078,-0.162193305992188,0.430214846809896,0.296701866103516,0.14397525915625,0.0419301321180556,-0.209486888725,0.040279687037037,-0.1678025,0.292717360195312,0.756988795174805,0.39533544109375,0.315782397829861,0.194493072639974,0.00300981334635417,0.442442139726562,0.0835344498828125,0.2328693019375,0.152457078691406,0.659522659939236,0.136667163333333,-0.0592888685373264,-0.04474207806875,-0.595943209844444,0.704125467057292,0.176528954722222,0.143702644980469,-0.318963199889323,0.13618932078125,0.06223909765625,0.618574583691667,-0.0590436546354167,0.0975304935546875,-0.07808225386575,0.236827025868056,0.446510730078125,-0.127180593681641,0.7832072359375,0.0221644360839844,-0.378590393033854,-0.494318898955729,-0.954845326311728,-0.3400164794875,-0.537311846180555,0.366362648222656,0.00901075130208335,0.376615280924479,-0.299170533984375,-0.512782731302083,-0.3084024015625,0.769687335347222,0.547563025364583,-0.127334953769643,-0.0340276790798611,0.345751079960938,0.07729263609375,0.118497227617188,0.239828139902344,0.31749471679362,0.219893794045139,0.152224454414063,0.122513762378472,1.00789189886719,-0.32160521515625
"RHOA",0.243653730798611,-0.514393582617187,-0.643939744428385,0.351042825705208,-0.115533190104167,-0.435432387395833,-0.195790885109375,0.858561880576389,0.505532896679688,0.310509018359375,-1.09218372480469,-0.181783198969727,-0.243110616826389,-0.41272896613125,-0.002696044375,-0.15040170203125,0.495487751393403,0.0817928419921875,0.886674026666667,1.07598441146484,-0.341457975058594,0.694922418402778,-0.110607550166016,-0.525607798541667,-0.172071050173611,-0.741351710459201,1.561702141025,-0.441691744628906,0.151365649125,-1.30465098104167,-0.13454915625,-0.315437192089844,0.0517619381481482,0.207727477317708,-0.16904362096875,-0.0263196758680556,0.227649191601562,-0.170995097612847,-0.10741573359375,-0.684765212744141,0.195790016536458,-0.150518101145508,-0.78504581640625,1.20329973463542,0.550491069140625,0.235584008268229,-1.01745604623438,-0.320104817773437,-0.4403884109375,0.452256919205729,0.288215202441406,-0.321474702138021,0.414505485831706,-0.326595112296875,-0.332592334284375,-0.6982175213125,0.424966381899306,0.117587329882813,-0.156555177565104,-0.604329378515625,0.32746354797309,-0.0997100669921875,-0.341643480164062,0.180240879410807,-0.824165476240234,-0.487410205104167,0.104104681597222,-0.1488867614625,-0.354223861805556,0.149683125,0.379584786651042,0.305747959569336,-0.0180859719859375,-0.177925734040799,-0.383386306458333,0.02764533984375,0.185218466744792,-0.211763998860677,0.358240145378906,-0.378422980114258,-0.82511127953559,-0.03283479484375,-0.149256488953993,-0.696898760646875,-0.930768892177083,0.577318392382812,-0.476456435916667,-0.320104817773437,-0.338638304873047,-0.216619575347222,-0.339674894184028,-0.4615891418125,-0.646627519010417,0.334054530598958,0.389236475884,0.0265937376736111,0.00103065455078123,-0.170068593359375,0.02169625390625,0.356610739934896,-0.363052029830729,-0.223830504847656,-0.0841971340277778,-0.32379950783125,-0.776906991827778,-0.131688543569336,0.410758483072917,-0.119818097884115,1.20329973463542,-0.321474702138021,-0.44595454245,0.701836985302083,0.39166064103125,-0.250283284269643,-1.3454104562717,0.395594215104167,0.952524859960937,0.675233861848958,0.586498324355469,0.382355834235026,-0.328535307430556,-0.300401190358073,0.2048330375,0.0713801298900463,-0.257315486693125
"IL1B",1.05863547530556,0.32840875625,0.01082948321875,1.44590378293611,-0.3665388609375,0.414867173765625,-0.0135092959453125,1.91813974709028,-0.0460908731445312,-0.396913381445312,-0.283891254023438,0.924508504785156,1.1613882726066,0.9502717290875,-0.033751373828125,0.2742496778125,-0.124807078145139,-0.0795992699609375,0.0415457788541667,2.54055539508464,0.128035268691406,-0.719228144791667,0.268724083691406,0.253695313854167,-0.141710147977431,-0.737503592699653,2.163682840375,-0.348320603515625,-0.0924117635026042,-0.1901571615625,-0.13336446875,0.112193944716797,0.222678842138889,-0.113052683810764,0.405461641927083,0.425610062586806,-0.097077827734375,0.319202940407986,-0.2102910433,-0.612724681884766,0.433433248535156,1.13827465441895,-0.518911313849826,0.259205378645833,-0.200559646875,0.102320253580729,0.794826641867187,-0.00874438691455077,-0.79439446875,0.491390781510417,0.650099975068359,0.325676511463542,0.01688189765625,0.295179902505208,0.706890273072917,0.64595288015625,-0.0525877256145833,0.1793703328125,0.200842217447917,-0.664593593173828,-0.174447405555556,0.233210718701172,-0.488976862265625,-0.0327761691080729,-0.364666543681641,-0.0195533733333333,0.116593703385417,0.3243394400625,0.558219873553241,-0.0218085625,0.220942089505208,-0.658004675850586,-0.3025269686875,0.114321554253472,0.549192545052083,-0.21714941171875,0.227317655598958,0.219954488736979,1.4659409421875,-0.0910531737890625,0.0755865052951389,1.17678678229167,-0.0534506875520833,0.6713961595375,0.7110207464675,-0.345003398632812,0.152878550645833,-0.00874438691455077,-0.247382664895833,0.297982675694444,-0.355637577491319,-0.11974976165625,-0.210926397135417,0.120791080403646,-0.028567129694,-0.285987023493924,-0.342778048358398,0.014960025,0.253263939257812,0.110777708647461,0.172568986263021,0.68315028203125,0.732069769506173,0.49610956874375,0.6386265543,-0.0372710563916015,0.404327009895833,0.139042205580729,0.259205378645833,0.325676511463542,0.7463059190625,2.62730873982431,0.87697771946875,0.599317368602643,1.27496385299479,0.206825963255208,-0.00718276640625,-0.232139436731771,-0.092093016171875,0.306763896841797,-0.378059602465278,-0.101904408947917,-0.284630310416667,0.0661304466770544,0.20954375658125
